"disease","mmwr_year","mmwr_week","current_week","cummulative","date"
"ACWY Serogroups",2015,2,0,0,"2015-01-11"
"Serogroup B",2015,2,0,1,"2015-01-11"
"Other Serogroup",2015,2,0,0,"2015-01-11"
"Unknown Serogroup",2015,2,2,5,"2015-01-11"
"ACWY Serogroups",2015,3,0,1,"2015-01-18"
"Serogroup B",2015,3,0,2,"2015-01-18"
"Other Serogroup",2015,3,0,0,"2015-01-18"
"Unknown Serogroup",2015,3,2,8,"2015-01-18"
"ACWY Serogroups",2015,4,1,3,"2015-01-25"
"Serogroup B",2015,4,0,2,"2015-01-25"
"Other Serogroup",2015,4,1,1,"2015-01-25"
"Unknown Serogroup",2015,4,2,10,"2015-01-25"
"ACWY Serogroups",2015,5,0,4,"2015-02-01"
"Serogroup B",2015,5,1,4,"2015-02-01"
"Other Serogroup",2015,5,0,1,"2015-02-01"
"Unknown Serogroup",2015,5,3,17,"2015-02-01"
"ACWY Serogroups",2015,6,1,5,"2015-02-08"
"Serogroup B",2015,6,0,7,"2015-02-08"
"Other Serogroup",2015,6,0,1,"2015-02-08"
"Unknown Serogroup",2015,6,0,16,"2015-02-08"
"ACWY Serogroups",2015,7,0,5,"2015-02-15"
"Serogroup B",2015,7,1,10,"2015-02-15"
"Other Serogroup",2015,7,0,1,"2015-02-15"
"Unknown Serogroup",2015,7,1,22,"2015-02-15"
"ACWY Serogroups",2015,8,0,7,"2015-02-22"
"Serogroup B",2015,8,0,12,"2015-02-22"
"Other Serogroup",2015,8,0,1,"2015-02-22"
"Unknown Serogroup",2015,8,4,30,"2015-02-22"
"ACWY Serogroups",2015,9,0,7,"2015-03-01"
"Serogroup B",2015,9,0,12,"2015-03-01"
"Unknown Serogroup",2015,9,2,35,"2015-03-01"
"Other Serogroup",2015,9,0,2,"2015-03-01"
"Unknown Serogroup",2015,10,7,43,"2015-03-08"
"Other Serogroup",2015,10,0,4,"2015-03-08"
"Serogroup B",2015,10,2,17,"2015-03-08"
"ACWY Serogroups",2015,10,0,7,"2015-03-08"
"Unknown Serogroup",2015,11,5,50,"2015-03-15"
"ACWY Serogroups",2015,11,0,9,"2015-03-15"
"Serogroup B",2015,11,0,19,"2015-03-15"
"Other Serogroup",2015,11,0,4,"2015-03-15"
"Other Serogroup",2015,12,0,4,"2015-03-22"
"ACWY Serogroups",2015,12,0,11,"2015-03-22"
"Serogroup B",2015,12,0,20,"2015-03-22"
"Unknown Serogroup",2015,12,3,53,"2015-03-22"
"Serogroup B",2015,13,2,23,"2015-03-29"
"ACWY Serogroups",2015,13,2,14,"2015-03-29"
"Unknown Serogroup",2015,13,3,56,"2015-03-29"
"Other Serogroup",2015,13,0,4,"2015-03-29"
"Other Serogroup",2015,14,0,4,"2015-04-05"
"ACWY Serogroups",2015,14,0,16,"2015-04-05"
"Serogroup B",2015,14,1,25,"2015-04-05"
"Unknown Serogroup",2015,14,3,60,"2015-04-05"
"ACWY Serogroups",2015,15,3,20,"2015-04-12"
"Serogroup B",2015,15,2,30,"2015-04-12"
"Other Serogroup",2015,15,0,4,"2015-04-12"
"Unknown Serogroup",2015,15,2,63,"2015-04-12"
"Other Serogroup",2015,16,0,4,"2015-04-19"
"Serogroup B",2015,16,0,30,"2015-04-19"
