"epiweek","epiyear","Meningococcal disease, All serogroups cummulative current year","Meningococcal disease, Serogroups ACWY cummulative current year","Meningococcal disease, Serogroup B cummulative for current year","Meningococcal disease, Other serogroups cummulative current year","Meningococcal disease, Unknown serogroup cummulative current year","Meningococcal disease, All serogroups incidence current week","Meningococcal disease, Unknown serogroup incidence current week","Meningococcal disease, Serogroups ACWY incidence current week","Meningococcal disease, Serogroup B incidence current week","Meningococcal disease, Other serogroups incidence current week","date"
45,1995,2594,NA,NA,NA,NA,35,NA,NA,NA,NA,"1995-11-05"
45,1995,2594,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-11-05"
46,1995,2647,NA,NA,NA,NA,53,NA,NA,NA,NA,"1995-11-12"
46,1995,2647,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-11-12"
47,1995,2675,NA,NA,NA,NA,28,NA,NA,NA,NA,"1995-11-19"
47,1995,2675,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-11-19"
48,1995,2729,NA,NA,NA,NA,54,NA,NA,NA,NA,"1995-11-26"
48,1995,2729,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-11-26"
49,1995,2797,NA,NA,NA,NA,68,NA,NA,NA,NA,"1995-12-03"
49,1995,2797,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-12-03"
50,1995,2859,NA,NA,NA,NA,62,NA,NA,NA,NA,"1995-12-10"
50,1995,2859,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-12-10"
51,1995,2932,NA,NA,NA,NA,73,NA,NA,NA,NA,"1995-12-17"
51,1995,2932,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-12-17"
52,1995,3243,NA,NA,NA,NA,311,NA,NA,NA,NA,"1995-12-24"
52,1995,3243,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-12-24"
1,1996,24,NA,NA,NA,NA,24,NA,NA,NA,NA,"1995-12-31"
2,1996,76,NA,NA,NA,NA,52,NA,NA,NA,NA,"1996-01-07"
3,1996,140,NA,NA,NA,NA,64,NA,NA,NA,NA,"1996-01-14"
4,1996,250,NA,NA,NA,NA,110,NA,NA,NA,NA,"1996-01-21"
5,1996,338,NA,NA,NA,NA,88,NA,NA,NA,NA,"1996-01-28"
6,1996,414,NA,NA,NA,NA,76,NA,NA,NA,NA,"1996-02-04"
7,1996,503,NA,NA,NA,NA,89,NA,NA,NA,NA,"1996-02-11"
8,1996,575,NA,NA,NA,NA,72,NA,NA,NA,NA,"1996-02-18"
9,1996,643,NA,NA,NA,NA,68,NA,NA,NA,NA,"1996-02-25"
10,1996,725,NA,NA,NA,NA,82,NA,NA,NA,NA,"1996-03-03"
11,1996,771,NA,NA,NA,NA,46,NA,NA,NA,NA,"1996-03-10"
12,1996,835,NA,NA,NA,NA,64,NA,NA,NA,NA,"1996-03-17"
13,1996,926,NA,NA,NA,NA,91,NA,NA,NA,NA,"1996-03-24"
14,1996,1012,NA,NA,NA,NA,86,NA,NA,NA,NA,"1996-03-31"
15,1996,1108,NA,NA,NA,NA,96,NA,NA,NA,NA,"1996-04-07"
16,1996,1170,NA,NA,NA,NA,62,NA,NA,NA,NA,"1996-04-14"
17,1996,1249,NA,NA,NA,NA,79,NA,NA,NA,NA,"1996-04-21"
18,1996,1322,NA,NA,NA,NA,73,NA,NA,NA,NA,"1996-04-28"
19,1996,1392,NA,NA,NA,NA,70,NA,NA,NA,NA,"1996-05-05"
20,1996,1476,NA,NA,NA,NA,84,NA,NA,NA,NA,"1996-05-12"
21,1996,1547,NA,NA,NA,NA,71,NA,NA,NA,NA,"1996-05-19"
22,1996,1600,NA,NA,NA,NA,53,NA,NA,NA,NA,"1996-05-26"
23,1996,1684,NA,NA,NA,NA,84,NA,NA,NA,NA,"1996-06-02"
24,1996,1743,NA,NA,NA,NA,59,NA,NA,NA,NA,"1996-06-09"
25,1996,1823,NA,NA,NA,NA,80,NA,NA,NA,NA,"1996-06-16"
26,1996,1859,NA,NA,NA,NA,36,NA,NA,NA,NA,"1996-06-23"
27,1996,1953,NA,NA,NA,NA,94,NA,NA,NA,NA,"1996-06-30"
28,1996,2008,NA,NA,NA,NA,55,NA,NA,NA,NA,"1996-07-07"
29,1996,2071,NA,NA,NA,NA,63,NA,NA,NA,NA,"1996-07-14"
30,1996,2129,NA,NA,NA,NA,58,NA,NA,NA,NA,"1996-07-21"
31,1996,2174,NA,NA,NA,NA,45,NA,NA,NA,NA,"1996-07-28"
32,1996,2216,NA,NA,NA,NA,42,NA,NA,NA,NA,"1996-08-04"
33,1996,2266,NA,NA,NA,NA,50,NA,NA,NA,NA,"1996-08-11"
35,1996,2275,NA,NA,NA,NA,24,NA,NA,NA,NA,"1996-08-25"
36,1996,2306,NA,NA,NA,NA,31,NA,NA,NA,NA,"1996-09-01"
37,1996,2344,NA,NA,NA,NA,38,NA,NA,NA,NA,"1996-09-08"
38,1996,2375,NA,NA,NA,NA,31,NA,NA,NA,NA,"1996-09-15"
39,1996,2433,NA,NA,NA,NA,58,NA,NA,NA,NA,"1996-09-22"
40,1996,2474,NA,NA,NA,NA,41,NA,NA,NA,NA,"1996-09-29"
41,1996,2535,NA,NA,NA,NA,61,NA,NA,NA,NA,"1996-10-06"
42,1996,2582,NA,NA,NA,NA,47,NA,NA,NA,NA,"1996-10-13"
43,1996,2649,NA,NA,NA,NA,67,NA,NA,NA,NA,"1996-10-20"
44,1996,2713,NA,NA,NA,NA,64,NA,NA,NA,NA,"1996-10-27"
